#Gene	AJ	B6	Axb1	Axb2	Axb4	Axb12	AXB13	Axb15	Axb19	Axb23	Axb24	Bxa1	Bxa2	Bxa4	Bxa7	Bxa8	Bxa12	Bxa11	Bxa13	Bxa15	Bxa16	Axb5	Axb6	Axb8	Axb1	Bxa24	Bxa25	Bxa26	gene_symbol	gene_desc
105853	0.06	0	0	0	0	0	0.11	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Mal2	MAL2 proteolipid protein
105859	0	0.14	0	0	0.07	0.04	0	0	0	0	NA	NA	0.02	0	0	0	0	0	0.06	0	0	0	0.02	0	NA	0	NA	NA	Csdc2	RNA-binding protein pippin
105866	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Krt72	keratin 72
105887	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Ugt3a1	UDP glycosyltransferases 3 family, polypeptide
105892	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0.05	0.06	0	0	0	0	0	0	0	NA	0	NA	NA	9030619P08Rik	RIKEN cDNA 9030619P08
105988	10.04	4.09	3.6	2.36	4.03	6.46	2.26	6.26	3.35	3.97	NA	NA	7.91	6.25	5.11	5.51	4.87	3.38	2.31	3.94	8.27	3.64	8.49	4.33	NA	3.07	NA	NA	Espl1	extra spindle poles-like 1,extra spindle poles-like 1,
106014	0	0	0	0.07	0	0.04	0	0	0	0	NA	NA	0	0	0	0	0	0.05	0	0.04	0	0.04	0	0.04	NA	0	NA	NA	AW049604	TAFA5 protein
106042	0	0.07	0	0	0	0	0	0	0.05	0.01	NA	NA	0	0.03	0	0	0.02	0.02	0.02	0	0.05	0.05	0.01	0.04	NA	0	NA	NA	Prickle1	prickle like 1,prickle like 1,
106052	2.99	4.46	5.69	5.97	5.07	3.54	7.62	3.78	4.75	3.21	NA	NA	4.2	3.5	4.92	4.37	3.37	5.35	4.2	3.43	3.3	3.99	3.91	2.88	NA	5.5	NA	NA	Fbxo4	F-box protein 4
106248	2.67	2.84	2.73	3.44	1.92	2.36	3.76	3.34	3.18	3.71	NA	NA	2.65	4.44	3.04	2.31	3.19	3	3.02	2.39	3.23	3.14	2.64	2.71	NA	4.56	NA	NA	Qtrtd1	queuine tRNA-ribosyltransferase domain
106347	0.06	0	0	0	0.08	0	0	0	0	0	NA	NA	0	0	0	0.08	0	0	0	0.02	0	0	0	0	NA	0	NA	NA	Ildr1	immunoglobulin-like domain containing receptor
106369	0.01	0.36	0.12	0.27	0.35	0.25	0.08	0.37	0.3	0.26	NA	NA	0.24	0.3	0.18	0.56	0.29	0.39	0.4	0.25	0.13	0.13	0.44	0.16	NA	0.14	NA	NA	Ypel1	yippee-like 1,yippee-like 1,
106389	0	0.29	0	0.06	0.43	0.07	0.21	0.03	0	0.05	NA	NA	0.14	0.1	0	0	0	0.02	0.04	0.08	0	0.02	0	0	NA	0	NA	NA	Eaf2	ELL associated factor 2
106393	0.59	1.07	1.19	0.39	0.53	0.75	0.58	0.84	0.51	0.58	NA	NA	1.01	0.69	0.85	0.59	0.86	0.71	0.83	1	0.99	0.99	1.04	0.66	NA	0.79	NA	NA	Srl	sarcalumenin,sarcalumenin,
106407	0	0	0	0	0	0.04	0	0.07	0	0	NA	NA	0	0.11	0	0	0	0	0.05	0	0	0	0.09	0	NA	0	NA	NA	Osta	organic solute transporter alpha
106522	0	0.72	1.16	0.62	0.22	1.01	0.28	0.05	0.99	0.32	NA	NA	0.11	0.5	0.26	0.9	0.74	0.27	0.49	0.67	1.24	0.51	0.5	0.29	NA	0.55	NA	NA	AW548124	hypothetical protein LOC106522
106557	0.13	0.21	0	0.06	0.14	0	0.47	0.11	0	0.11	NA	NA	0.06	0.15	0.42	0.05	0	0.16	0	0.17	0	0.13	0.08	0.13	NA	0	NA	NA	Ldhal6b	lactate dehydrogenase A-like 6B
106565	0.11	0	0	0	0	0	0.18	0.06	0	0	NA	NA	0	0	0	0	0	0.04	0.09	0	0	0	0	0	NA	0	NA	NA	Dlk2	EGF-like-domain, multiple 9,EGF-like-domain, multiple 9,EGF-like-domain, multiple 9,
106585	4.46	3.99	3.92	2.83	4.53	5.66	2.15	4.43	8.07	6.77	NA	NA	4.13	6.32	2.57	7.13	4.55	3.06	7.57	6.05	5.74	4.07	3.22	7.18	NA	1.93	NA	NA	Ankrd12	ankyrin repeat domain 12,ankyrin repeat domain 12,
106633	4.19	3.65	4.08	2.62	2.33	4.95	2.27	5.14	3.32	4.11	NA	NA	6.58	4.92	3.01	2.77	4.14	3.17	3.24	4.22	5.42	4.06	6.45	4.46	NA	1.79	NA	NA	Ift140	intraflagellar transport 140,intraflagellar transport 140,
106639	1.92	3.78	1.78	2.57	2.62	1.84	1.67	1.4	1.83	1.79	NA	NA	2.5	2.59	1.8	1.07	2	2.32	2.62	2.65	2.06	2.77	3.81	2.25	NA	1.82	NA	NA	AI662250	vimentin-type IF-associated coiled-coil protein
106648	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0.02	0	0	0	0	0	NA	0	NA	NA	Cyp4f15	cytochrome P450, family 4, subfamily f,,cytochrome P450, family 4, subfamily f,,
106722	0	0	0.32	0	0	0	0	0	0.04	0	NA	NA	0.07	0	0	0.07	0	0.03	0	0	0	0	0	0	NA	0	NA	NA	AU023871	hypothetical protein LOC106722
106766	0	0.33	0.51	0.04	0.4	0.1	0.1	0.12	0.18	0.03	NA	NA	0.05	0.03	0.11	0.44	0.04	0.12	0.03	0.08	0.03	0.19	0.16	0.05	NA	0	NA	NA	Stap2	signal transducing adaptor family member 2
106794	1.79	2.23	1.45	1.68	2	2.85	1.82	3.25	3.21	2.99	NA	NA	3.94	2.92	2.46	2.13	2.95	1.79	3.54	2.95	3.45	2.23	2.4	2.94	NA	1.16	NA	NA	Dhx57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,
106861	0.19	1.03	0.65	0.82	1.1	0.89	0.65	3.01	0.67	0.94	NA	NA	0.62	0.62	0.41	1.46	0.69	0.87	1.09	0.92	0.23	1.35	0.44	1.24	NA	1.68	NA	NA	Abhd3	abhydrolase domain containing 3
106877	0.3	0.79	0.09	0.46	0.27	1.08	0	0.19	0.5	0.62	NA	NA	0.56	1.59	1.22	1.1	0.42	0.29	0.77	0.42	1.51	0.82	0.76	1.04	NA	0.32	NA	NA	Afap1l1	actin filament associated protein 1-like 1
106931	0.58	1.16	0.39	0.68	0.55	0.86	0.45	1.67	0.9	1	NA	NA	0.56	0.76	1.2	1.36	1.06	0.41	0.89	0.75	1.12	1.07	0.63	1.03	NA	0.42	NA	NA	Kctd1	potassium channel tetramerisation domain,potassium channel tetramerisation domain,potassium channel tetramerisation domain,
107065	0	0	0	0	0	0	0	0.03	0	0.02	NA	NA	0	0.03	0	0.01	0.03	0	0	0.04	0.03	0	0.02	0	NA	0	NA	NA	Lrrtm2	leucine rich repeat transmembrane neuronal 2
107141	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Cyp2c50	cytochrome P450, family 2, subfamily c,,cytochrome P450, family 2, subfamily c,,
107146	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Glyat	glycine-N-acyltransferase
107221	0	0.14	0	0	0.23	0.22	0.48	0.19	0.07	0.05	NA	NA	0.06	0.04	0.2	0.11	0	0	0.26	0.17	0.05	0.18	0.08	0	NA	0.21	NA	NA	Gpr120	G protein-coupled receptor 120
107250	0.27	0.25	0	0.6	1.39	0.32	1.25	0.17	0.15	0.44	NA	NA	0.09	0.59	0.31	0.48	0.14	0.93	0.48	0.34	0.45	0.26	0.43	0.53	NA	0.85	NA	NA	Kazald1	Kazal-type serine peptidase inhibitor domain 1,Kazal-type serine peptidase inhibitor domain 1,
107328	0.92	0.75	0	1.42	2.36	1.15	1.16	1.34	0.76	0.84	NA	NA	1.02	0.87	1.21	1.45	0.81	0.79	1.05	1.23	1.23	1.18	1.56	0.67	NA	0.67	NA	NA	Trpt1	tRNA splicing 2' phosphotransferase 1
107351	0.28	0	0	0.18	0	0	0.06	0.02	0	0.04	NA	NA	0.01	0.39	0.06	0.04	0.25	0.02	0.31	0.04	0.4	0	0.46	0	NA	0.03	NA	NA	Ankrd15	ankyrin repeat domain 15,ankyrin repeat domain 15,ankyrin repeat domain 15,
107448	0.23	0.38	0.12	0.25	0.03	0.73	0.11	0.21	0.01	0.4	NA	NA	0.07	0.39	0	0.21	0.62	0	0.19	0.07	0.36	0.14	0.61	0.01	NA	0.23	NA	NA	Unc5a	netrin receptor Unc5h1,netrin receptor Unc5h1,
107449	0.23	0.36	0	0.31	0.23	0.44	0.52	0.5	0.35	0.39	NA	NA	0.76	0.27	0.16	0.35	0.25	0.23	0.42	0.27	0.28	0.45	0.39	0.35	NA	0.25	NA	NA	Unc5b	unc-5 homolog B,unc-5 homolog B,unc-5 homolog B,
107476	0.66	1.2	1.13	0.8	0.62	1.65	0.6	1.21	1.14	1.1	NA	NA	1.7	1.01	0.7	0.83	1.69	1.18	0.95	1.14	1.72	1.4	2.18	1.45	NA	0.45	NA	NA	Acaca	acetyl-Coenzyme A carboxylase alpha
107477	0.31	0.12	0.33	0.08	0	0.31	0	0.18	0.28	0.16	NA	NA	0.03	0.1	0	0.14	0.03	0	0.3	0.23	0.29	0.09	0.18	0.54	NA	0	NA	NA	Guca1b	guanylate cyclase activator 1B
107515	0.16	0.17	0	0.15	0.29	0.04	0	0.19	0.1	0.17	NA	NA	0.22	0.18	0.17	0.07	0.13	0.25	0.11	0.07	0.22	0.08	0.05	0.17	NA	0.05	NA	NA	Lgr4	G protein-coupled receptor 48
107526	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Gimap4	GTPase, IMAP family member 4 isoform b
107527	0.38	0.12	0	0.28	0.51	0.19	0.09	0.65	0.03	0.61	NA	NA	0.1	0.31	0.27	0	0.14	0.21	0.34	0.49	0.06	0.43	0.72	0.6	NA	0.18	NA	NA	Il1rl2	interleukin 1 receptor-like 2,interleukin 1 receptor-like 2,
107528	3.23	3.56	2.12	3.12	3.4	3.79	1.97	3.04	3.76	3.43	NA	NA	3.51	3.72	4.5	2.55	4.7	2.68	2.48	4.62	4.05	3.56	4.76	3.75	NA	1.86	NA	NA	Magee1	melanoma antigen, family E, 1
107581	0	0	0	0	0	0	0	0.02	0	0	NA	NA	0	0	0	0	0	0	0	0.01	0	0	0	0	NA	0	NA	NA	Col16a1	procollagen, type XVI, alpha 1,procollagen, type XVI, alpha 1,
107585	0	0	0.23	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Dio3	deiodinase, iodothyronine type III
107586	0	0	0.24	0	0	0	0	0.08	0	0	NA	NA	0.05	0	0	0	0	0.06	0	0	0	0	0	0	NA	0	NA	NA	Ovol2	ovo-like 2 isoform A
107587	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Osr2	odd-skipped related 2
107589	0.3	0.12	0.25	0.03	0	0.18	0.01	0.16	0.22	0.11	NA	NA	0.15	0.07	0.36	0.04	0.17	0.1	0.11	0.16	0.35	0.09	0.08	0.02	NA	0.1	NA	NA	Mylk	myosin, light polypeptide kinase,myosin, light polypeptide kinase,
107605	0	0.09	0.02	0	0	0.03	0	0	0.03	0	NA	NA	0.03	0.01	0	0	0.02	0.05	0.03	0.01	0.03	0	0.01	0	NA	0	NA	NA	Rdh1	retinol dehydrogenase 1 (all trans)
107607	0.63	0.63	0.95	0.44	0.6	2.18	1.15	1.35	0.9	0.84	NA	NA	0.23	0.93	1.19	0.94	1.2	0.27	0.79	0.93	0.91	1.04	0.85	1.58	NA	0.51	NA	NA	Nod1	nucleotide-binding oligomerization domain,nucleotide-binding oligomerization domain,
107656	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Krt9	keratin complex 1, acidic, gene 9
107751	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Prrxl1	paired related homeobox protein-like 1
107753	0	0	0	0	0	0	0	0.18	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Lgals2	lectin, galactose-binding, soluble 2
107765	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0.13	0	0	0.04	0	0	0	0	0	0	NA	0	NA	NA	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
107770	0	0	0	0.08	0	0	0	0	0.08	0	NA	NA	0	0.03	0	0	0	0	0.06	0	0	0	0.16	0	NA	0	NA	NA	Tm6sf2	transmembrane 6 superfamily member 2,transmembrane 6 superfamily member 2,
107815	0.12	0.2	0.13	0.07	0.2	0.1	0	0.07	0.05	0.07	NA	NA	0.05	0.2	0.18	0	0.17	0.06	0.09	0.04	0.1	0.04	0.16	0.12	NA	0	NA	NA	Scml2	sex comb on midleg-like 2,sex comb on midleg-like 2,sex comb on midleg-like 2,
107831	0	0	0	0	0	0	0.1	0	0	0	NA	NA	0	0	0.01	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Bai1	brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,
107849	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Prl2c5	prolactin family 2, subfamily c, member 5
107868	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0.01	0	0	0	0	0	0	0	NA	0	NA	NA	Usp9y	ubiquitin specific peptidase 9, Y chromosome
107869	0.43	0.15	0.16	0.22	0.04	0.11	0.04	0.21	0.29	0.21	NA	NA	0.23	0.16	0.25	0.75	0.03	0.24	0.16	0.36	0.07	0.19	0.1	0.34	NA	0.08	NA	NA	Cth	cystathionase
107889	0	0	0	0.03	0	0	0	0.48	0	0.16	NA	NA	0	0.06	0	0	0	0	0.13	0	0.42	0	0	0	NA	0.04	NA	NA	Gcm2	glial cells missing homolog 2,glial cells missing homolog 2,
107934	0.09	0.22	0	0.16	0.09	0.24	0.15	0.13	0.34	0.31	NA	NA	0.08	0.12	0.07	0.11	0.17	0.06	0.4	0.2	0.15	0.15	0.11	0.21	NA	0.17	NA	NA	Celsr3	cadherin EGF LAG seven-pass G-type receptor 3,cadherin EGF LAG seven-pass G-type receptor 3,
107970	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0.1	NA	0	NA	NA	Hist1h1t	histone 1, H1t
107971	0.19	0.52	0.04	0.14	0.13	0.18	0.36	0.32	0.42	0.38	NA	NA	0.36	0.25	0.18	0.32	0.37	0.34	0.56	0.51	0.29	0.23	0.44	0.36	NA	0.12	NA	NA	Frs3	fibroblast growth factor receptor substrate 3
107993	0	0	0	0	0	0.15	0	0	0	0	NA	NA	0	0	0	0	0.07	0	0.09	0	0	0	0	0	NA	0	NA	NA	Bfsp2	beaded filament structural protein 2, phakinin,beaded filament structural protein 2, phakinin,
108000	5.91	2.02	2.22	0.74	2.58	5.1	0.66	3.34	2.3	2.64	NA	NA	4.27	4.35	1.83	3.79	2.96	2.23	1.42	3.09	6.11	1.39	4.11	4.57	NA	0.85	NA	NA	Cenpf	centromere protein F,centromere protein F,centromere protein F,
108011	5.34	4.12	4.44	3.55	3.58	4.39	2.84	4.45	4.01	5.11	NA	NA	4.73	4.24	3.87	2.98	5.37	2.41	4.04	4.47	4.11	4.57	5.03	4.36	NA	3.31	NA	NA	Ap4e1	adaptor-related protein complex AP-4, epsilon 1,adaptor-related protein complex AP-4, epsilon 1,
108013	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Brunol4	bruno-like 4, RNA binding protein,bruno-like 4, RNA binding protein,bruno-like 4, RNA binding protein,bruno-like 4, RNA binding protein,
108015	0	0.02	0	0	0	0.03	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0.02	0	0	0	NA	0	NA	NA	Chrnb4	cholinergic receptor, nicotinic, beta,cholinergic receptor, nicotinic, beta,
108017	0	0	0	0.19	0	0	0	0	0	0	NA	NA	0	0.23	0	0	0	0	0	0	0	0.21	0.36	0	NA	0	NA	NA	Fxyd4	corticosteroid-induced protein,corticosteroid-induced protein,
108030	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0.01	0	0	0	0	0	NA	0	NA	NA	Lin7a	lin 7 homolog a isoform 1
108043	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Chrnb3	cholinergic receptor, nicotinic, beta
108052	0.09	0	0	0	0	0.03	0	0	0	0.02	NA	NA	0.08	0.02	0.22	0	0.11	0.03	0	0.02	0.02	0.06	0	0	NA	0.03	NA	NA	Slc14a1	solute carrier family 14 (urea transporter),,solute carrier family 14 (urea transporter),,
108069	0	0	0.09	0	0	0	0	0	0	0	NA	NA	0	0.02	0.02	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm3	glutamate receptor, metabotropic 3
108071	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm5	glutamate receptor, metabotropic 5,glutamate receptor, metabotropic 5,
108072	0	0	0	0	0	0	0.07	0	0	0	NA	NA	0	0	0.04	0	0	0.01	0	0	0	0	0	0	NA	0	NA	NA	Grm6	glutamate receptor, metabotropic 6,glutamate receptor, metabotropic 6,
108073	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm7	glutamate receptor, metabotropic 7
108075	0	0	0.14	0	0	0.03	0	0.03	0.02	0	NA	NA	0	0.01	0	0	0.03	0	0.07	0.06	0.02	0.01	0	0	NA	0	NA	NA	Ltbp4	latent transforming growth factor beta binding,latent transforming growth factor beta binding,latent transforming growth factor beta binding,
108078	0.11	0	0	0.05	0.06	0	0.04	0.02	0.03	0.11	NA	NA	0	0.03	0.05	0	0	0.04	0	0	0	0.01	0	0.19	NA	0.18	NA	NA	Olr1	oxidized low density lipoprotein (lectin-like)
108079	0	0.02	0	0.03	0	0.05	0	0.04	0.02	0	NA	NA	0.02	0.01	0.05	0	0.02	0.01	0.02	0	0	0.1	0.03	0	NA	0	NA	NA	Prkaa2	AMP-activated protein kinase alpha 2 catalytic
108089	0.2	0.15	0.11	0.12	0.16	0.22	0.26	0.36	0.11	0.14	NA	NA	0.3	0.2	0.16	0.07	0.28	0.18	0.13	0.12	0.24	0.39	0.21	0.13	NA	0.06	NA	NA	Rnf144a	ring finger protein 144
108096	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Slco1a5	solute carrier organic anion transporter family,,solute carrier organic anion transporter family,,
108097	0.47	1.13	0.59	0.71	1.32	0.92	0.8	1.08	1.4	1.53	NA	NA	0.96	1.16	1.11	0.58	1.03	0.69	1.14	1.05	0.61	1.05	1.09	0.96	NA	0.53	NA	NA	Prkab2	AMP-activated protein kinase beta 2
108105	0	0	0	0.03	0.05	0	0	0.07	0	0.03	NA	NA	0.04	0.01	0	0	0.01	0	0.02	0.02	0	0.01	0.01	0.01	NA	0	NA	NA	B3gnt5	UDP-GlcNAc:betaGal,UDP-GlcNAc:betaGal,
108114	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Slc22a7	solute carrier family 22 member 7
108116	0.27	1.77	3.32	0.24	1.85	2.19	0.66	4.46	0.87	1.26	NA	NA	2.62	2.38	3.54	1.3	0.67	0.46	0.47	1.99	2.41	2.05	1.08	0.57	NA	0.21	NA	NA	Slco3a1	solute carrier organic anion transporter family,
